"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00048758","1903-12","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19031231",",,6","","","","","","","","","11.2",",,6,31,","","","","","","","","","","","","","14.5",",,,6","","","","","","","","","",""
"USC00048758","1904-02","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","17",",6","15",",6","7",",6","","","7",",6","","","","","","","","","","","","","","","","","19040212",",,6","","","19040224",",,6","","","","","","","394",",,6,12,","76.2",",,6,24,","","","","","","","","","","","","","393.0",",,,6","1128",",,,6","","","","","","","",""
"USC00048758","1904-03","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","23",",6","19",",6","2",",6","","","7",",6","","","","","","","","","","","","","","","","","19040310",",,6","","","19040310",",,6","","","","","","","432",",,6,10,","43.2",",,6,10,","","","","","","","","","","","","","271.8",",,,6","1119",",,,6","","","","","","","",""
"USC00048758","1904-04","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19040419",",,6","","","","","","","","","16.0",",,6,19,","","","","","","","","","","","","","36.0",",,,6","","","","","","","","","",""
"USC00048758","1904-05","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19040524",",,6","","","","","","","","","8.9",",,6,24,","","","","","","","","","","","","","13.0",",,,6","","","","","","","","","",""
"USC00048758","1905-01","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","","","","","","","","","2",",6","","","","","","","","","","","","","","","","","19050121","+,,6","","","","","","","","","","","76",",,6,21,+","","","","","","","","","","","","","","","","","152",",,,6","","","","","","","",""
"USC00048758","1905-02","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19050202",",,6","","","","","","","","","26.7",",,6,02,","","","","","","","","","","","","","57.7",",,,6","","","","","","","","","",""
"USC00048758","1905-03","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","11",",6","11",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19050319",",,6","","","19050319",",,6","","","","","","","18",",,6,19,","17.8",",,6,19,","","","","","","","","","","","","","116.7",",,,6","102",",,,6","","","","","","","",""
"USC00048758","1906-01","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","8",",6","7",",6","4",",6","","","5",",6","","","","","","","","","","","","","","","","","19060112",",,6","","","19060112",",,6","","","","","","","965",",,6,12,","96.5",",,6,12,","","","","","","","","","","","","","241.1",",,,6","1626",",,,6","","","","","","","",""
"USC00048758","1906-02","39.1678","-120.1428","1898.9","TAHOE CITY, CA US","","","","","8",",6","8",",6","2",",6","","","2",",6","","","","","","","","","","","","","","","","","19060221",",,6","","","19060221",",,6","","","","","","","36",",,6,21,","35.6",",,6,21,","","","","","","","","","","","","","129.5",",,,6","106",",,,6","","","","","","","",""
