	date	cdsd	cldd	cldd_attributes	dp01	dp01_attributes	dp10	dp10_attributes	dp1x	dp1x_attributes	dsnd	dsnw	dsnw_attributes	dt00	dt00_attributes	dt32	dt32_attributes	dx32	dx32_attributes	dx70	dx70_attributes	dx90	dx90_attributes	dyfg	dyts	emnt	emnt_attributes	emsd	emsd_attributes	emsn	emsn_attributes	emxp	emxp_attributes	emxt	emxt_attributes	fzf0	fzf0_attributes	fzf1	fzf1_attributes	fzf2	fzf2_attributes	fzf3	fzf3_attributes	fzf4	fzf4_attributes	fzf5	fzf5_attributes	fzf6	fzf6_attributes	fzf7	fzf7_attributes	fzf8	fzf8_attributes	fzf9	fzf9_attributes	hdsd	hdsd_attributes	htdd	htdd_attributes	prcp	prcp_attributes	snow	snow_attributes	tavg	tavg_attributes	tmax	tmax_attributes	tmin	tmin_attributes	wdmv	wdmv_attributes
0	1910	5.3	5.3	6.0	31.0	6.0	30.0	6.0	5.0	6.0				5.0	6.0	202.0	6.0	19.0	6.0	96.0	6.0	0.0	6.0			-21.1	[6.0, 202.0, '+']					63.5	[' ', 6.0, 1203.0, ' ']	31.7	[6.0, 530.0, ' ']	-3.3	[6.0, 1002.0]	-3.3	[6.0, 1002.0]	-6.7	[6.0, 1119.0]	-6.7	[6.0, 1119.0]	-10.0	[6.0, 1128.0]	-3.3	[6.0, 704.0]	-3.3	[6.0, 704.0]	-4.4	[6.0, 521.0]	-8.3	[6.0, 326.0]	-8.9	[6.0, 325.0]					499.8	[' ', 6.0]			6.71	6.0	14.29	6.0	-0.88	6.0		
1	1911	1.4	1.4	6.0										11.0	6.0	250.0	6.0	30.0	6.0	74.0	6.0	0.0	6.0			-23.3	[6.0, 226.0, ' ']							28.9	[6.0, 715.0, ' ']	-2.8	[6.0, 904.0]	-2.8	[6.0, 904.0]	-4.4	[6.0, 920.0]	-6.7	[6.0, 1002.0]	-11.1	[6.0, 1112.0]	0.0	[6.0, 701.0]	-2.2	[6.0, 624.0]	-6.1	[6.0, 525.0]	-7.2	[6.0, 510.0]	-13.3	[6.0, 413.0]	4580.9	9.0	4580.9	6.0					4.17	6.0	11.27	6.0	-2.94	6.0		
2	1912	0.3	0.3	6.0								34.0	6.0	1.0	6.0	250.0	6.0	13.0	6.0	69.0	6.0	0.0	6.0			-18.9	[6.0, 103.0, ' ']			330.0	[' ', 6.0, 1215.0, ' ']			30.0	[6.0, 716.0, ' ']	-1.1	[6.0, 816.0]	-2.2	[6.0, 830.0]	-5.6	[6.0, 1008.0]	-8.3	[6.0, 1028.0]	-9.4	[6.0, 1119.0]	-0.6	[6.0, 704.0]	-3.3	[6.0, 701.0]	-5.6	[6.0, 503.0]	-10.0	[6.0, 426.0]	-10.0	[6.0, 426.0]	5008.7	7.0	5008.7	6.0			3966.0	[' ', 6.0]	4.7	6.0	11.93	6.0	-2.54	6.0		
3	1913	0.0	0.0	6.0	67.0	6.0	56.0	6.0	7.0	6.0				5.0	6.0	235.0	6.0	29.0	6.0	83.0	6.0	0.0	6.0	7.0		-22.2	[6.0, 105.0, ' ']					118.6	[' ', 6.0, 1231.0, ' ']	29.4	[6.0, 712.0, ' ']	0.0	[6.0, 814.0]	-3.9	[6.0, 924.0]	-7.8	[6.0, 1004.0]	-7.8	[6.0, 1004.0]	-12.8	[6.0, 1123.0]	0.0	[6.0, 629.0]	-2.8	[6.0, 627.0]	-4.4	[6.0, 514.0]	-6.7	[6.0, 502.0]	-8.9	[6.0, 501.0]	4941.3	3.0	4941.3	6.0	765.7	[' ', 6.0]			4.96	6.0	12.48	6.0	-2.56	6.0		
4	1914	5.3	5.3	6.0	65.0	6.0	55.0	6.0	13.0	6.0				4.0	6.0	235.0	6.0	24.0	6.0	87.0	6.0	0.0	6.0			-18.9	[6.0, 1214.0, '+']					68.8	[' ', 6.0, 113.0, ' ']	30.6	[6.0, 815.0, '+']	-0.6	[6.0, 905.0]	-3.9	[6.0, 908.0]	-6.1	[6.0, 1020.0]	-6.7	[6.0, 1118.0]	-9.4	[6.0, 1128.0]	-1.7	[6.0, 627.0]	-2.8	[6.0, 611.0]	-5.0	[6.0, 606.0]	-6.7	[6.0, 429.0]	-11.1	[6.0, 330.0]	4676.0	0.0	4676.0	6.0	888.3	[' ', 6.0]			5.3	6.0	12.66	6.0	-2.06	6.0		
5	1915	3.2	3.2	6.0										2.0	6.0	256.0	6.0	19.0	6.0	99.0	6.0	0.0	6.0	2.0		-19.4	[6.0, 1231.0, '+']							31.7	[6.0, 829.0, ' ']	0.0	[6.0, 911.0]	-4.4	[6.0, 912.0]	-4.4	[6.0, 912.0]	-6.7	[6.0, 1105.0]	-13.3	[6.0, 1110.0]	-0.6	[6.0, 707.0]	-2.2	[6.0, 627.0]	-5.6	[6.0, 611.0]	-9.4	[6.0, 502.0]	-9.4	[6.0, 502.0]	4766.2	2.0	4766.2	6.0					5.58	6.0	13.67	6.0	-2.51	6.0		
6	1916	0.0	0.0	6.0								40.0	6.0	8.0	6.0	243.0	6.0	25.0	6.0	68.0	6.0	0.0	6.0			-26.1	[6.0, 130.0, ' ']			838.0	[' ', 6.0, 127.0, ' ']			28.3	[6.0, 711.0, ' ']	-0.6	[6.0, 805.0]	-2.2	[6.0, 924.0]	-5.0	[6.0, 1004.0]	-6.7	[6.0, 1106.0]	-11.1	[6.0, 1107.0]	0.0	[6.0, 728.0]	-2.8	[6.0, 602.0]	-6.1	[6.0, 524.0]	-7.2	[6.0, 331.0]	-9.4	[6.0, 324.0]	4543.5	5.0	4543.5	6.0			9679.0	[' ', 6.0]	4.79	6.0	12.41	6.0	-2.84	6.0		
7	1917	17.5	17.5	6.0	70.0	6.0	39.0	6.0	8.0	6.0		31.0	6.0	7.0	6.0	234.0	6.0	33.0	6.0	114.0	6.0	1.0	6.0	2.0		-21.7	[6.0, 117.0, ' ']			813.0	[' ', 6.0, 221.0, ' ']	66.8	[' ', 6.0, 224.0, ' ']	33.3	[6.0, 712.0, ' ']	-0.6	[6.0, 907.0]	-2.2	[6.0, 923.0]	-4.4	[6.0, 1018.0]	-6.7	[6.0, 1205.0]			-0.6	[6.0, 629.0]	-2.8	[6.0, 612.0]	-4.4	[6.0, 518.0]	-6.7	[6.0, 516.0]	-10.6	[6.0, 418.0]	5153.4	4.0	5153.4	6.0	663.9	[' ', 6.0]	4470.0	[' ', 6.0]	5.52	6.0	13.58	6.0	-2.53	6.0		
8	1918	2.8	2.8	6.0										1.0	6.0	223.0	6.0	24.0	6.0	100.0	6.0	0.0	6.0	3.0		-17.8	[6.0, 215.0, ' ']							31.1	[6.0, 628.0, ' ']	-0.6	[6.0, 923.0]	-2.8	[6.0, 1016.0]	-8.9	[6.0, 1105.0]	-8.9	[6.0, 1105.0]	-8.9	[6.0, 1105.0]	-0.6	[6.0, 602.0]	-2.2	[6.0, 528.0]	-4.4	[6.0, 519.0]	-9.4	[6.0, 414.0]	-9.4	[6.0, 414.0]	4147.9	9.0	4147.9	6.0					5.82	6.0	13.5	6.0	-1.85	6.0		
9	1919	22.5	22.5	6.0										1.0	6.0	234.0	6.0	29.0	6.0	117.0	6.0	2.0	6.0	5.0		-20.0	[6.0, 1213.0, ' ']							32.8	[6.0, 721.0, ' ']	-1.1	[6.0, 905.0]	-3.3	[6.0, 1004.0]	-5.0	[6.0, 1018.0]	-7.8	[6.0, 1027.0]	-9.4	[6.0, 1031.0]	-1.1	[6.0, 617.0]	-2.2	[6.0, 614.0]	-4.4	[6.0, 421.0]	-9.4	[6.0, 414.0]	-9.4	[6.0, 414.0]	4569.3	3.0	4569.3	6.0					5.58	6.0	13.52	6.0	-2.37	6.0		
